Date : 2025-06-25 15:49:57
Directory : d:\Work\React\steelworks-react-ui
Total : 286 files,  20999 codes, 500 comments, 1605 blanks, all 23104 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\list\List.tsx              | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\departments\list\columns.ts            | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\Add.tsx                  | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\Details.tsx              | TypeScript JSX     |        132 |          0 |         20 |        152 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\Layout.tsx               | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\Update.tsx               | TypeScript JSX     |         82 |          1 |         11 |         94 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\list\List.tsx            | TypeScript JSX     |         59 |          2 |          7 |         68 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\organizations\list\columns.ts          | TypeScript         |         31 |          0 |          7 |         38 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\Add.tsx                         | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\Details.tsx                     | TypeScript JSX     |        175 |          2 |         21 |        198 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\Layout.tsx                      | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\Update.tsx                      | TypeScript JSX     |         89 |          1 |         13 |        103 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\list\List.tsx                   | TypeScript JSX     |         59 |          2 |          6 |         67 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\people\list\columns.tsx                | TypeScript JSX     |         71 |          0 |         12 |         83 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\Add.tsx                    | TypeScript JSX     |         31 |          0 |          5 |         36 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\Details.tsx                | TypeScript JSX     |        106 |          0 |         15 |        121 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\Layout.tsx                 | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\Update.tsx                 | TypeScript JSX     |         59 |          1 |          8 |         68 |
| d:\Work\React\steelworks-react-ui\src\pages\admin-panel\permissions\list\List.tsx              | TypeScript JSX     |         59 |          2 |          6 |         67 |
